UserId,SnackId,Rating
1,110,1
1,147,4.5
1,858,5
1,1221,5
1,1246,5
1,1968,4
1,2762,4.5
1,2918,5
1,2959,4
1,4226,4
1,4878,5
1,5577,5
1,33794,4
1,54503,3.5
1,58559,4
1,59315,5
1,68358,5
1,69844,5
1,73017,5
1,81834,5
1,91500,2.5
1,91542,5
1,92439,5
1,96821,5
1,98809,0.5
1,99114,4
1,112552,5
2,5,3
2,25,3
2,32,2
2,58,3
2,64,4
2,79,4
2,141,3
2,260,4
2,339,5
2,377,4
2,605,4
2,628,4
2,648,4
2,762,3
2,780,3
2,786,1
2,788,1
2,1210,4
2,1233,4
2,1356,5
2,1475,3
2,1552,2
3,480,3
3,500,2
3,527,4
3,858,4
3,1092,3
3,1097,3
3,1270,3
3,1968,3
3,3101,3
3,4474,3
4,223,4
4,415,4
4,648,4
4,1097,5
4,1197,4
4,1210,2
4,1221,5
4,1422,4
4,1431,3
4,1597,3
4,1617,4
4,1644,3
4,1645,4
4,1732,3
4,1909,4
4,1911,4
4,2023,5
4,2338,2
4,2355,4
4,2396,5
4,2443,4
4,2541,3
4,2581,3
4,2683,3
4,2692,4
4,2694,1
4,2706,4
4,2710,2
4,2712,3
4,2716,4
4,2762,5
4,2763,4
4,2805,3
4,2875,4
4,2881,3
4,2987,4
4,3004,1
4,3005,3
4,3114,5
4,3160,4
4,3203,4
4,3285,3
4,3298,3
4,3408,5
4,3409,2
4,3476,4
4,3578,4
4,3623,2
4,3751,4
4,3752,3
4,3753,4
4,3798,4
4,3908,2
4,3909,3
4,3977,3
4,4014,4
4,4084,3
4,4226,3
4,4238,4
4,4848,3
4,4896,4
4,5679,3
5,7,3
5,157,2
5,296,4
5,541,5
5,750,5
5,858,5
5,908,5
5,1193,5
5,1198,4
5,1201,5
5,1204,5
5,1225,4
5,1230,5
5,1254,5
5,1263,5
5,1270,5
5,1302,5
5,1945,5
5,2163,2
5,2707,5
5,2877,1
5,3079,5
5,3114,4
5,3156,5
5,3198,4
5,3255,3
6,11,3
6,1198,3
6,2565,4
6,2628,5
7,293,5
7,318,4
7,2571,4
7,2858,4.5
7,2959,4.5
7,3535,5
7,3948,1.5
7,4022,4
7,4306,2.5
7,4896,4.5
7,4993,5
7,5618,4
7,5810,2
7,5816,4.5
7,6377,3.5
7,6934,2
7,7153,4.5
7,8368,4
7,8533,4
7,8961,2.5
7,30793,2.5
7,33794,4
7,35836,3
7,39183,3
7,40815,2.5
7,41566,2
7,50872,4
7,51255,2.5
7,54001,3
7,54272,4
7,54503,3.5
7,55247,2
7,58559,5
7,60074,1
7,63082,3.5
7,68954,3
7,69844,3.5
7,72378,2.5
7,79132,3
7,80463,3.5
7,81834,3
7,88125,4.5
7,88129,4
7,88744,1.5
7,89745,2.5
7,91529,4.5
7,98809,4.5
7,99114,2
7,106489,4
7,106920,3.5
7,116797,4.5
7,122904,1
7,134853,2.5
8,1,4
8,7,2
8,44,3
8,47,4
8,170,3
8,208,3
8,318,5
8,420,1
8,553,4
8,585,2
8,647,4
8,653,4
8,784,2
8,832,2
8,852,2
8,912,4
8,968,4
8,1037,3
8,1210,4
8,1211,3
8,1228,3
8,1265,3
8,1266,5
8,1287,4
8,1292,5
8,1304,3
8,1339,1
8,1343,3
8,1404,1
8,1405,4
8,1499,3
8,1591,4
8,1626,3
8,1653,2
8,1792,1
8,1837,1
8,1876,3
8,1882,2
8,1965,3
8,1968,3
8,2019,5
8,2022,3
8,2110,2
8,2193,2
8,2240,3
8,2300,2
8,2313,3
8,2334,3
8,2416,3
8,2469,3
8,2474,2
8,2571,4
8,2596,4
8,2600,2
8,2670,4
8,2762,2
8,2919,3
8,2985,4
8,3016,3
8,3036,3
8,3082,3
8,3091,4
8,3107,2
8,3146,3
8,3147,3
8,3175,5
8,3197,2
8,3203,4
8,3354,1
8,3359,4
8,3527,5
8,3634,5
8,3660,4
8,3671,3
8,3679,4
8,3785,3
8,3841,4
8,3868,4
8,3986,1
8,4084,1
8,4085,3
8,4291,2
8,4361,2
8,4366,3
8,4367,3
8,4443,4
8,4466,3
8,4541,4
8,4563,3
8,4571,3
8,4638,3
8,4643,2
8,4654,3
8,4681,1
8,4787,2
8,4896,4
8,4901,3
8,4954,3
8,4956,4
8,4963,2
8,4971,2
8,4979,4
8,4980,2
8,4993,4
8,5002,2
8,5008,5
8,5026,2
8,5033,1
8,5036,3
8,5054,4
8,5064,3
8,5120,2
8,5125,2
9,1,4.5
9,150,4
9,342,5
9,497,4
9,594,3
9,750,4
9,852,2
9,1059,5
9,1079,2
9,1183,4
9,1188,4.5
9,1197,4.5
9,1207,4
9,1246,4.5
9,1262,4
9,1291,3.5
9,1304,3.5
9,1391,2.5
9,1527,4
9,1653,4.5
9,1676,0.5
9,1682,4.5
9,2245,3.5
9,2321,4
9,2324,5
9,2355,4.5
9,2395,4.5
9,2396,5
9,2571,3.5
9,2640,2
9,2762,4
9,2858,4.5
9,3114,4.5
9,3408,3.5
9,3535,2.5
9,3538,3
9,3717,3.5
9,3751,4
9,3793,4
9,3948,3.5
9,3967,4.5
9,3969,3.5
9,3996,4
9,4014,4.5
9,4027,5
9,4103,4
9,4226,4
9,4246,4
9,4306,5
9,4308,5
9,4367,2.5
9,4370,2.5
9,4848,3
9,4878,4
9,4881,4
9,4886,4
9,4896,3.5
9,4963,4
9,4973,5
9,4979,4.5
9,4993,5
9,5013,3
9,5016,3.5
9,5151,3
9,5299,5
9,5349,4
9,5378,2.5
9,5380,4
9,5445,3
9,5459,3.5
9,5502,3
9,5669,4
9,5816,3.5
9,5872,3
9,5902,3.5
9,5952,5
9,5989,5
9,5991,4.5
9,6157,3
9,6333,4
9,6365,3
9,6539,5
9,6568,4
9,7153,5
10,150,4
10,153,3
10,165,4
10,296,5
10,344,4
10,349,5
10,380,5
10,457,4
10,588,5
10,590,3
10,592,4
10,593,4
10,595,5
11,32,3.5
11,34,4
11,47,3.5
11,110,3.5
11,165,3.5
11,231,2.5
11,260,3
11,296,4
11,318,4.5
11,344,3
11,356,4
11,364,3
11,457,3.5
11,480,3.5
11,500,4
11,520,2
11,527,4.5
11,593,4
11,736,3
11,750,3
11,784,2
11,1073,4
11,1089,3.5
11,1127,3.5
11,1265,2.5
11,1270,3
11,1276,3
11,1370,3.5
11,1527,3.5
11,1573,3.5
11,1721,4
11,1923,4
11,2028,4
11,2054,2.5
11,2571,3
11,2959,2.5
11,3408,4
11,3409,4
11,3440,3
11,3513,3.5
11,3555,4
11,3578,4
11,3977,3
11,4022,3.5
11,4027,3.5
11,4036,1
11,4052,3.5
11,4226,2.5
11,4238,3.5
11,4878,2
11,4963,3.5
11,4973,4.5
11,4993,4
11,4995,4
11,5064,4.5
11,5418,3.5
11,5952,4
11,5989,4
11,6058,3.5
11,6377,3.5
11,6539,2.5
11,6624,2.5
11,6870,3.5
11,6942,3.5
11,7153,4
11,7347,3.5
11,7361,2
11,7439,3
11,8665,4
11,27700,4.5
11,33437,3
11,33679,3.5
11,33794,4
11,36513,3
11,37653,3
11,37727,3
11,37741,2.5
11,40148,2.5
11,40339,4
11,42013,2
11,43679,3
11,44199,4
11,44555,4
11,45442,3
11,45672,2
11,45728,0.5
11,46723,4
11,46948,2
11,47394,2.5
11,47518,3
11,47610,4
11,47629,3.5
11,47642,3
11,48043,0.5
11,48304,4.5
11,48326,1.5
11,48394,3
11,48516,3.5
11,48593,2.5
11,48738,3.5
11,48774,3.5
11,48780,4.5
11,48997,5
11,49130,3.5
11,49272,3.5
11,49280,1.5
11,49530,3.5
11,49910,3.5
11,50068,3
11,50442,2.5
11,50601,2.5
11,50794,1.5
11,50872,3.5
11,51077,2.5
11,51086,2
11,51091,2
11,51255,3
11,51412,3.5
11,51418,3
11,51540,4
11,51575,3
11,51931,3
11,51935,4
11,52245,3.5
11,52281,2.5
11,52321,3.5
11,52328,3.5
11,52448,4
11,52458,3
11,52604,3.5
11,52644,2.5
11,52694,4
11,52712,3
11,52952,3.5
11,52973,3.5
11,52975,2
11,53125,2.5
11,53129,4
11,53207,3.5
11,53318,3.5
11,53322,4
11,53519,2.5
11,53550,4
11,53921,3.5
11,53953,3
11,53972,4
11,53996,3.5
11,54259,3
11,54286,4
11,54503,4
11,54736,3.5
11,54775,1
11,54780,2.5
11,54787,2.5
11,54997,4
11,54999,3
11,55052,3
11,55080,3
11,55094,3
11,55116,3.5
11,55118,3.5
11,55232,1.5
11,55247,4.5
11,55276,3.5
11,55286,2
11,55290,4
11,55363,3
11,55729,2
11,55765,3.5
11,55814,2
11,55820,4.5
11,55830,3
11,55946,3
11,55995,1
11,56145,3.5
11,56156,2.5
11,56171,2
11,56174,3.5
11,56339,3.5
11,56367,4
11,56587,3.5
11,56607,4
11,56633,2.5
11,56757,4
11,56775,3
11,56782,5
11,56941,2
11,57353,3.5
11,57368,3.5
11,57528,3
11,57669,3
11,58025,3
11,58078,3
11,58103,4
11,58162,2.5
11,58295,4
11,58303,3.5
11,58306,1.5
11,58559,4.5
11,58806,2
11,58839,2
11,58975,3
11,59016,3
11,59103,1.5
11,59107,2.5
11,59141,4.5
11,59256,3.5
11,59315,3.5
11,59362,2.5
11,59369,5
11,59387,2.5
11,59501,2.5
11,59900,2.5
11,60069,4.5
11,60072,3
11,60126,3
11,60397,2
11,60753,3.5
11,61132,3.5
11,61248,3.5
11,61323,3.5
11,61352,3.5
11,61697,3
11,62081,3.5
11,62644,4
11,63853,4
11,64957,3
12,1,4
12,16,4
12,17,4
12,29,5
12,32,2
12,34,5
12,36,3
12,47,5
12,50,5
12,73,2
12,82,4
12,97,4
12,123,5
12,125,5
12,150,5
12,155,1
12,157,1
12,160,1
12,162,4
12,175,5
12,176,4
12,194,5
12,198,1
12,223,5
12,232,4
12,235,5
12,246,5
12,247,5
12,260,5
12,273,3
12,290,5
12,293,4
12,296,5
12,301,2
12,307,5
12,309,4
12,318,4
12,322,5
12,334,3
12,337,4
12,348,4
12,356,3
12,363,4
12,373,5
12,441,4
12,446,5
12,457,3
12,475,3
12,492,4
12,497,4
12,501,5
12,523,3
12,527,5
12,529,4
12,535,4
12,541,4
12,549,5
12,555,3
12,568,3
12,581,5
12,589,3
12,590,4
12,593,4
12,595,3
12,608,5
12,728,4
12,735,5
12,750,5
12,759,5
12,778,5
12,800,5
12,858,4
12,866,3
12,899,3
12,903,5
12,904,4
12,912,5
12,916,4
12,926,4
12,940,3
12,953,4
12,969,3
12,994,5
12,1023,5
12,1036,4
12,1041,4
12,1059,4
12,1060,4
12,1079,5
12,1080,5
12,1086,4
12,1089,5
12,1111,5
12,1120,3
12,1132,4
12,1136,5
12,1147,5
12,1148,5
12,1172,5
12,1177,4
12,1184,5
12,1185,4
12,1192,5
12,1193,5
12,1196,4
12,1197,5
12,1198,4
12,1199,5
12,1206,4
12,1207,4
12,1208,4
12,1211,5
12,1213,4
12,1214,2
12,1216,5
12,1217,5
12,1219,3
12,1221,4
12,1224,4
12,1225,5
12,1230,4
12,1233,4
12,1234,4
12,1240,4
12,1242,4
12,1245,4
12,1246,5
12,1263,4
12,1264,4
12,1270,2
12,1273,5
12,1277,4
12,1279,5
12,1280,5
12,1285,5
12,1289,5
12,1291,4
12,1293,4
12,1299,5
12,1354,5
12,1356,2
12,1357,3
12,1358,4
12,1394,5
12,1449,4
12,1499,1
12,1517,4
12,1537,5
12,1545,4
12,1552,1
12,1584,3
12,1587,1
12,1610,4
12,1617,5
12,1625,4
12,1635,4
12,1639,5
12,1641,3
12,1643,4
12,1648,5
12,1658,1
12,1672,2
12,1673,3
12,1674,4
12,1678,5
12,1682,4
12,1683,4
12,1684,3
12,1701,3
12,1704,4
12,1719,5
12,1721,2
12,1730,4
12,1784,3
12,1794,4
12,1799,5
12,1834,3
12,1836,4
12,1883,4
12,1892,1
12,1914,5
12,1923,2
12,1952,4
12,1954,2
12,1957,4
12,1960,5
12,1961,3
12,1962,4
12,2020,5
12,2028,5
12,2064,4
12,2081,4
12,2095,4
12,2108,4
12,2136,5
12,2144,2
12,2150,3
12,2160,4
12,2174,3
12,2193,3
12,2194,3
12,2243,5
12,2248,5
12,2252,3
12,2263,1
12,2266,1
12,2268,3
12,2291,4
12,2294,2
12,2302,5
12,2312,4
12,2331,4
12,2333,4
12,2348,4
12,2355,4
12,2363,2
12,2391,5
12,2394,2
12,2416,1
12,2419,2
12,2431,2
12,2520,1
12,2542,5
12,2571,5
12,2572,4
12,2580,5
12,2628,3
12,2657,5
12,2692,5
12,2702,4
12,2716,3
12,2739,4
12,2762,3
12,2791,1
12,2797,3
12,2840,1
12,2841,3
12,2858,5
12,2871,4
12,2916,4
12,2985,2
12,2987,2
12,2997,5
12,3052,5
12,3077,4
12,3079,4
12,3100,3
12,4424,3
13,1911,2
13,1965,3.5
13,2116,4.5
13,2431,3
13,3258,2.5
13,3444,1.5
13,6957,3
13,33004,4
13,43560,2
13,56607,3.5
13,58047,1.5
14,293,2
14,318,2.5
14,2571,4.5
14,2959,3
14,168252,5
15,6,4
15,107,3.5
15,135,0.5
15,260,1.5
15,293,5
15,296,4.5
15,348,1.5
15,349,3.5
15,362,4
15,441,3
15,531,2.5
15,541,4.5
15,555,4
15,589,3.5
15,599,5
15,608,5
15,733,2
15,745,4
15,750,5
15,778,4.5
15,838,0.5
15,969,5
15,1036,4.5
15,1079,5
15,1080,5
15,1093,1.5
15,1148,4.5
15,1188,3
15,1196,1
15,1197,4.5
15,1198,4
15,1200,5
15,1201,5
15,1208,4.5
15,1209,3.5
15,1214,5
15,1220,3.5
15,1223,4
15,1233,4
15,1234,4.5
15,1240,4
15,1249,3.5
15,1261,4
15,1262,4
15,1265,5
15,1272,5
15,1278,5
15,1287,3
15,1291,3
15,1303,5
15,1304,4.5
15,1321,3.5
15,1378,1
15,1387,5
15,1394,5
15,1396,1
15,1408,5
15,1527,5
15,1580,3.5
15,1610,4.5
15,1732,5
15,1784,4
15,1831,0.5
15,1884,4
15,1953,4.5
15,1954,4
15,1960,4
15,2028,4
15,2072,2.5
15,2108,1
15,2194,3
15,2300,3.5
15,2401,4.5
15,2502,5
15,2529,2.5
15,2542,4.5
15,2571,4
15,2692,4.5
15,2716,3.5
15,2728,3
15,2797,3.5
15,2871,4
15,2918,3
15,2944,4.5
15,2947,2.5
15,2951,4.5
15,2959,4
15,2997,4
15,3030,5
15,3037,4.5
15,3066,4
15,3112,3.5
15,3252,3
15,3265,4
